global_map_order,event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
11,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,4,2,Teenage Rising,99DIVINE,99DIVINE,Teenage Rising,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
12,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,4,3,Teenage Rising,99DIVINE,Teenage Rising,99DIVINE,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
13,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,4,4,Teenage Rising,99DIVINE,99DIVINE,Teenage Rising,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
14,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,5,1,RTFM,Bleed Esports,Bleed Esports,RTFM,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
15,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,5,2,RTFM,Bleed Esports,Bleed Esports,RTFM,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
16,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,5,3,RTFM,Bleed Esports,Bleed Esports,RTFM,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
17,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,6,1,Far East Society,99DIVINE,Far East Society,99DIVINE,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
18,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,6,2,Far East Society,99DIVINE,99DIVINE,Far East Society,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
19,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,6,3,Far East Society,99DIVINE,99DIVINE,Far East Society,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
20,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,6,4,Far East Society,99DIVINE,99DIVINE,Far East Society,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
21,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,7,1,Bleed Esports,99DIVINE,Bleed Esports,99DIVINE,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
22,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,7,2,Bleed Esports,99DIVINE,Bleed Esports,99DIVINE,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
23,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,7,3,Bleed Esports,99DIVINE,Bleed Esports,99DIVINE,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
24,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,8,1,Personate Gang,Fade Altair,Fade Altair,Personate Gang,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
25,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,8,2,Personate Gang,Fade Altair,Fade Altair,Personate Gang,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
26,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,8,3,Personate Gang,Fade Altair,Fade Altair,Personate Gang,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
27,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,9,1,321 Diving,Teenage Rising,Teenage Rising,321 Diving,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
28,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,9,2,321 Diving,Teenage Rising,321 Diving,Teenage Rising,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
29,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,9,3,321 Diving,Teenage Rising,321 Diving,Teenage Rising,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
30,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 3,Day 3,2024-03-14,9,4,321 Diving,Teenage Rising,321 Diving,Teenage Rising,New Junk City,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
31,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,10,1,RTFM,Fade Altair,RTFM,Fade Altair,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
32,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,10,2,RTFM,Fade Altair,RTFM,Fade Altair,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
33,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,10,3,RTFM,Fade Altair,RTFM,Fade Altair,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
34,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,11,1,Far East Society,321 Diving,Far East Society,321 Diving,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
35,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,11,2,Far East Society,321 Diving,Far East Society,321 Diving,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
36,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,11,3,Far East Society,321 Diving,321 Diving,Far East Society,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
37,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,11,4,Far East Society,321 Diving,321 Diving,Far East Society,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
38,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,11,5,Far East Society,321 Diving,321 Diving,Far East Society,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
39,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,12,1,RTFM,321 Diving,321 Diving,RTFM,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
40,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,12,2,RTFM,321 Diving,RTFM,321 Diving,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
41,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,12,3,RTFM,321 Diving,RTFM,321 Diving,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
42,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,12,4,RTFM,321 Diving,321 Diving,RTFM,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
43,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 4,Day 4,2024-03-21,12,5,RTFM,321 Diving,321 Diving,RTFM,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
44,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,13,1,99DIVINE,321 Diving,99DIVINE,321 Diving,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
45,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,13,2,99DIVINE,321 Diving,99DIVINE,321 Diving,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
46,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,13,3,99DIVINE,321 Diving,99DIVINE,321 Diving,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
47,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,14,1,Bleed Esports,99DIVINE,99DIVINE,Bleed Esports,Samoa,Control,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
48,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,14,2,Bleed Esports,99DIVINE,99DIVINE,Bleed Esports,King's Row,Hybrid,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
49,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,14,3,Bleed Esports,99DIVINE,Bleed Esports,99DIVINE,Colosseo,Push,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
50,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,14,4,Bleed Esports,99DIVINE,99DIVINE,Bleed Esports,New Junk City,Flashpoint,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
51,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 5,Day 5,2024-03-28,14,5,Bleed Esports,99DIVINE,99DIVINE,Bleed Esports,Rialto,Escort,bo7,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
52,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,1,1,Toronto Defiant,Final Gambit,Toronto Defiant,Final Gambit,Ilios,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
53,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,1,2,Toronto Defiant,Final Gambit,Toronto Defiant,Final Gambit,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
54,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,1,3,Toronto Defiant,Final Gambit,Toronto Defiant,Final Gambit,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
55,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,2,1,Daybreak,Shikigami,Shikigami,Daybreak,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
56,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,2,2,Daybreak,Shikigami,Shikigami,Daybreak,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
57,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,2,3,Daybreak,Shikigami,Shikigami,Daybreak,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
58,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,3,1,Toronto Defiant,Shikigami,Toronto Defiant,Shikigami,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
59,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,3,2,Toronto Defiant,Shikigami,Toronto Defiant,Shikigami,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
60,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,3,3,Toronto Defiant,Shikigami,Toronto Defiant,Shikigami,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
61,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,4,1,Final Gambit,Daybreak,Daybreak,Final Gambit,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
62,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,4,2,Final Gambit,Daybreak,Daybreak,Final Gambit,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
63,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,4,3,Final Gambit,Daybreak,Daybreak,Final Gambit,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
64,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 4,2024-03-16,5,1,Shikigami,Daybreak,Shikigami,Daybreak,Nepal,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
65,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 4,2024-03-16,5,2,Shikigami,Daybreak,Shikigami,Daybreak,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
66,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 4,2024-03-16,5,3,Shikigami,Daybreak,Shikigami,Daybreak,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
67,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,6,1,LFO,Citrus Nation,Citrus Nation,LFO,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
68,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,6,2,LFO,Citrus Nation,LFO,Citrus Nation,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
69,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,6,3,LFO,Citrus Nation,Citrus Nation,LFO,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
70,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,6,4,LFO,Citrus Nation,LFO,Citrus Nation,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
71,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,6,5,LFO,Citrus Nation,Citrus Nation,LFO,Circuit Royal,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
72,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,7,1,Luminosity Gaming,BangBangPow Galaxy,Luminosity Gaming,BangBangPow Galaxy,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
73,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,7,2,Luminosity Gaming,BangBangPow Galaxy,Luminosity Gaming,BangBangPow Galaxy,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
74,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,7,3,Luminosity Gaming,BangBangPow Galaxy,Luminosity Gaming,BangBangPow Galaxy,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
75,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,8,1,Citrus Nation,Luminosity Gaming,Luminosity Gaming,Citrus Nation,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
76,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,8,2,Citrus Nation,Luminosity Gaming,Luminosity Gaming,Citrus Nation,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
77,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 2,2024-03-09,8,3,Citrus Nation,Luminosity Gaming,Luminosity Gaming,Citrus Nation,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
78,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,9,1,LFO,BangBangPow Galaxy,LFO,BangBangPow Galaxy,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
79,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,9,2,LFO,BangBangPow Galaxy,LFO,BangBangPow Galaxy,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
80,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 3,2024-03-10,9,3,LFO,BangBangPow Galaxy,LFO,BangBangPow Galaxy,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
81,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 5,2024-03-17,10,1,Citrus Nation,LFO,LFO,Citrus Nation,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
82,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 5,2024-03-17,10,2,Citrus Nation,LFO,LFO,Citrus Nation,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
83,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 2,Day 5,2024-03-17,10,3,Citrus Nation,LFO,LFO,Citrus Nation,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
84,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,11,1,TSM,Timeless Obsidian,TSM,Timeless Obsidian,Samoa,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
85,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,11,2,TSM,Timeless Obsidian,TSM,Timeless Obsidian,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
86,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,11,3,TSM,Timeless Obsidian,TSM,Timeless Obsidian,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
87,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,12,1,M80,Nah I'd Win,M80,Nah I'd Win,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
88,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,12,2,M80,Nah I'd Win,M80,Nah I'd Win,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
89,owcs_2024_na_s1_groups,na,2024,Stage 1 Groups,Week 1,Day 1,2024-03-08,12,3,M80,Nah I'd Win,M80,Nah I'd Win,Colosseo,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/North_America/Stage_1/Group_Stage,liquipedia_scraper_draft
